"Kinoto", 36.42, 186
"Sandia", 58.72, 1017
"Tomate", 741.92, 720
"Frambuesa", 2052.37, 110
"Alcachofa", 124.72, 252
"Coliflor", 22.62, 465
"Tomate", 723.40, 891
"Zanahoria", 32.28, 540
"Frutilla", 300.01, 306
"Limon", 312.88, 644
"Batata", 19.38, 890
"Uva", 702.44, 282
"Frutilla", 274.78, 309
"TomCherry", 545.69, 182
"Brocoli", 364.70, 340
"Palta", 499.82, 400
"Banana", 70.38, 840
"Mandarina", 20.40, 1000
"Papa", 17.76, 1040
"Pepino", 34.65, 440
"Papa", 17.51, 960
"Zuccini", 82.24, 480
"Mandarina", 20.73, 1110
"Durazno", 130.88, 920
"Ciruela", 1008.71, 900
"Zuccini", 83.38, 558
"Zanahoria", 41.96, 528
"Caqui", 816.46, 119
"Caqui", 819.35, 83
"Naranja", 21.64, 850
"Cebolla", 72.46, 816
"Lima", 1454.17, 236
"Coliflor", 29.87, 570
"Naranja", 17.97, 1020
"Coliflor", 24.20, 420
"Repollo", 6.88, 784
"Rabanito", 243.37, 252
"Pomelo", 41.76, 819
"Zanahoria", 33.67, 654
"TomCherry", 549.15, 218
"TomCherry", 541.21, 226
"Repollo", 6.69, 798
"Palta", 507.16, 550
"Repollo", 8.33, 791
"Durazno", 160.29, 808
"Cebolla", 70.50, 808
"Lechuga", 36.67, 981
"Melon", 113.17, 392
"Palta", 1136.88, 428
"Frutilla", 314.65, 294
"Zuccini", 64.26, 636
"Durazno", 283.58, 856
"Pomelo", 50.48, 864
"Naranja", 15.12, 1110
"Zuccini", 72.95, 492
"Brocoli", 376.58, 352
"Morron", 3052.33, 588
"Naranja", 19.62, 1020
"Pera", 148.06, 1020
"Higo", 2510.91, 82
"Pepino", 25.83, 420
"Lima", 1000.19, 164
"Coliflor", 26.12, 405
"Durazno", 140.47, 792
"Naranja", 18.42, 1120
"Cebolla", 69.96, 744
"Uva", 737.14, 264
"Esparrago", 616.27, 172
"Papa", 16.63, 1030
"Durazno", 133.22, 872
"Morron", 2953.42, 702
"Choclo", 76.03, 342
"Limon", 341.62, 595
"Calabaza", 23.17, 816
"Pepino", 33.56, 505
"Naranja", 16.53, 1010
"Pomelo", 48.06, 1008
"Champignon", 3627.38, 115
"Sandia", 79.03, 747
"Pera", 151.14, 1180
"Pera", 127.71, 970
"Kinoto", 38.20, 168
"Cereza", 1119.98, 180
"Kinoto", 38.19, 210
"Repollo", 4.93, 693
"Naranja", 7.53, 870
"Banana", 61.12, 1180
"Pepino", 31.78, 475
"Palta", 1164.01, 444
"Kiwi", 425.67, 344
"Rabanito", 212.26, 300
"Papa", 14.86, 830
"Lechuga", 43.49, 1026
"Sandia", 60.93, 900
"Coliflor", 12.12, 520
"Caqui", 826.07, 113
